name,front,left,back,right
1.jpeg, 0000000000,0000000000,0000000000,0000000000
2.jpeg, 0000000000,0000000000,0000000000,0000000000
3.jpeg, 0000000000,0000000000,0000000000,0000000000
4.jpeg, 0000000000,0000000000,0000000000,0000000000
5.jpeg, 0000000000,0000000000,0000000000,0000010010
6.jpeg, 0000000000,0000000000,0000000000,0000000000
7.jpeg, 0000000000,0000000000,0000000000,0000000000
8.jpeg, 0000000000,0000000000,0000000000,0000000000
9.jpeg, 0000000000,0000000000,0000000000,0000000000
10.jpeg,0000000000,0000000000,0000000000,0000000000
11.png, 0100000000,0000000010,0000000000,0001000000
12.png, 0110000000,0000000010,0000000000,0010000001
13.jpeg,0000000000,0000000000,0000000000,0000100000
14.jpeg,0000010000,0000000000,0000000000,0000000000
15.jpeg,0000000000,0000000000,0000000000,0000000000
16.jpeg,0000000000,0000000000,0000000001,0000000000
