name,front,left,back,right
1.jpeg, 0000000000,0000000000,0000000000,0000000000
2.jpeg, 0000000000,0000000000,0000000000,0000000000
3.jpeg, 0000000000,0000000000,0000000000,0000000000
4.jpeg, 0000000000,0000000000,0000000000,0000000000
5.jpeg, 0101000000,0000000100,0000101000,0000010100
6.jpeg, 0000000000,0000000000,0000000000,0000000000
7.jpeg, 0000000000,0000000000,0000000000,0000000000
8.jpeg, 0000000000,0000000000,0000000000,0000000000
9.jpeg, 0000000000,0000000000,0000000000,0000000000
10.jpeg,0000000000,0000000000,0000000000,0000000000
11.png, 0101001000,1000000000,1100000000,0000101000
12.png, 0111001001,1001000011,1100000101,0110101100
13.jpeg,0101000100,0001000100,0001001000,0000000100
14.jpeg,0000000000,0000000000,0000000001,0001000000
15.jpeg,1001000000,0010000100,0100000101,0001000000
16.jpeg,1001000000,0010000100,0100000100,0001000000
17.jpeg,1000000000,0010000000,0000001000,0000001000
